,ProductName,NumberofReviews,Price,Disc,rate
122, TRebel Airdopes 131 ,56 reviews,1299,57%,4.7    
123, TRebel Airdopes 131 ,56 reviews,1299,57%,4.7    
124, TRebel Airdopes 131 ,56 reviews,1299,57%,4.7    
125, TRebel Airdopes 131 ,56 reviews,1299,57%,4.7    
126, TRebel Airdopes 131 ,56 reviews,1299,57%,4.7    
127, TRebel Airdopes 131 ,56 reviews,1299,57%,4.7    
128,TRebel BassHeads 152 ,11 reviews,499,61%,5.0    
129,TRebel BassHeads 152 ,11 reviews,499,61%,5.0    
130,TRebel BassHeads 152 ,11 reviews,499,61%,5.0    
131,TRebel BassHeads 152 ,11 reviews,499,61%,5.0    
132,TRebel BassHeads 152 ,11 reviews,499,61%,5.0    
133,TRebel BassHeads 152 ,11 reviews,499,61%,5.0    
134, TRebel Airdopes 441 Pro ,5 reviews,2999,50%,4.8    
135, TRebel Airdopes 441 Pro ,5 reviews,2999,50%,4.8    
136, TRebel Airdopes 441 Pro ,5 reviews,2999,50%,4.8    
137, TRebel Airdopes 441 Pro ,5 reviews,2999,50%,4.8    
138, TRebel Airdopes 441 Pro ,5 reviews,2999,50%,4.8    
139,TRebel Rockerz 255 Pro ,4 reviews,1499,57%,5.0    
140,TRebel Rockerz 255 Pro ,4 reviews,1499,57%,5.0    
141,TRebel Rockerz 255 Pro ,4 reviews,1499,57%,5.0    
142,TRebel Rockerz 255 Pro ,4 reviews,1499,57%,5.0    
