,ProductName,NumberofReviews,Price,Discount,Rate
138,Bassheads 192 - Make in India,1 review,449,55%,5.0    
139,BassHeads 225 ,301 reviews,399,60%,4.8    
140,BassHeads 225 ,301 reviews,399,60%,4.8    
141,BassHeads 225 ,301 reviews,399,60%,4.8    
142,BassHeads 225 ,301 reviews,399,60%,4.8    
143,BassHeads 225 ,301 reviews,399,60%,4.8    
144,BassHeads 225 ,301 reviews,399,60%,4.8    
145,BassHeads 228 ,1 review,699,41%,5.0    
146,BassHeads 110 ,1 review,449,55%,5.0    
147,BassHeads 225 ,7 reviews,699,30%,4.9    
148,BassHeads 225 ,7 reviews,699,30%,4.9    
149,BassHeads 225 ,7 reviews,699,30%,4.9    
150,BassHeads 225 ,7 reviews,699,30%,4.9    
151,BassHeads 225 ,7 reviews,699,30%,4.9    
152,BassHeads 225 ,7 reviews,699,30%,4.9    
